Product ID,Product Name,Category,Price,Description
1001,Super Widget,Electronics,49.99,The Super Widget is a versatile electronic device for all your needs
1002,  Mega Gadget ,Electronics,89.95,A powerful gadget with multiple functions
1003,Hyper Tool,Tools,34.5,An all-in-one tool for every situation
1004,Extreme Gizmo,Electronics,62.49,The Extreme Gizmo offers a wide range of features for tech enthusiasts
1005,nan,Outdoors,24.99,A must-have for every outdoor adventure
1006,Ultra Equipment,Outdoors,79.95,The ultimate gear for outdoor enthusiasts
1007,Hyper Tool,Tools,29.99,The essential tool for any DIY project
1008,Maxi Gadget,Electronics,109,Maximize your productivity with this high-performance gadget
1010,Giga Widget,Electronics,149.99,The most advanced widget for all your tech needs
1011,Super Tool Set,Tools,54.99, A comprehensive set of tools for a wide range of applications
1012,Pro Gadget,Electronics,129,The professional choice for high-performance gadgets
1013,nan,Outdoors,39.99,Experience the great outdoors with this essential gear
1014,Extreme Gizmo,Electronics,seventy nine,A top-of-the-line gizmo for the most demanding users
1015,Power Tool,Tools,64.99, A powerful tool for heavy-duty tasks
1016,Super Charger,Electronics,New product offering,Charge all your devices quickly and efficiently
1017,Smart Backpack,Outdoors,49.99,Carry all your essentials with this smart backpack
1018,Speedy Gadget,Electronics,119,Experience lightning-fast performance with this gadget
1019,Pro Tool Set,Tools,Outdoors, A professional-grade tool set for serious DIYers
1020,Adventure Gear,Outdoors,69.95,Everything you need for a thrilling outdoor adventure
1022, Compact Tool,Tools,24.5, A compact
1023, Ultimate Gizmo,Electronics,139,Discover endless possibilities with this feature-packed gizmo
1024,Outdoor Essentials,Outdoors,59.95,The perfect companion for any outdoor excursion
1025,Mighty Widget,Electronics,109.99,Experience the power and versatility of this mighty widget
1026,Hyper Tool,Tools,33.99,Your go-to tool for a wide variety of tasks
1027,Elite Gadget,Electronics,179, Elevate your tech experience with this elite gadget
1029,Powerful Tool Set,Tools,99.99, A tool set designed for the toughest jobs
1030,Innovative Gizmo,Electronics,149, Unleash your creativity with this innovative gizmo
1031,Outdoor Pro Gear,Outdoors,84.99,Professional-grade gear for serious outdoor enthusiasts
1032,Product 1,Electronics,62.49,The Super Widget is a versatile electronic device for all your needs
1033,Product 2,Tools,24.99,A powerful gadget with multiple functions
1034,Product 3,Electronics,79.95,An all-in-one tool for every situation
1035,Product 4,Outdoors,29.99,The Extreme Gizmo offers a wide range of features for tech enthusiasts
1036, Product 5,Electronics,109,A must-have for every outdoor adventure
1037,Product 6,Tools,89.95,The ultimate gear for outdoor enthusiasts
1038,Product 7,Outdoors,149.99,The essential tool for any DIY project
1039,Product 8,Electronics,54.99,Maximize your productivity with this high-performance gadget
1041,Product 10,Electronics,39.99,The most advanced widget for all your tech needs
1043,Product 12,Outdoors,64.99,The professional choice for high-performance gadgets
1044,Product 13,Electronics,29.95,Experience the great outdoors with this essential gear
1045,Product 14,Tools,12.5,A top-of-the-line gizmo for the most demanding users
1046,Product 15,Electronics,119, A powerful tool for heavy-duty tasks
1047,Product 16,Outdoors,79.99,Charge all your devices quickly and efficiently
1048,Product 17,Electronics,69.95,Carry all your essentials with this smart backpack
1049,Product 18,Tools,99.99,Experience lightning-fast performance with this gadget
